player,dealer,action,value
12,6,0,-0.20096709517631792
12,6,1,-1.0
11,6,0,0.2979401667484065
11,6,1,-1.0
13,6,0,-0.23509683003353896
13,6,1,-0.5384615384615384
15,6,0,-0.3514235789906463
15,6,1,-0.4285714285714286
18,9,0,-0.5589786621913204
18,9,1,-1.0
17,9,0,-0.5182284980744544
17,9,1,-1.0
18,5,0,0.0
18,5,1,0.21819306930693094
19,5,0,0.0
19,5,1,0.4628721750567977
14,5,0,-0.3172198450329577
14,5,1,-1.0
15,5,0,-1.0
15,5,1,-0.1367430922986484
20,6,0,-1.0
20,6,1,0.699392874261062
18,6,0,-0.3333333333333333
18,6,1,0.26926766869203617
19,4,0,0.0
19,4,1,0.40938217869665133
20,4,0,-1.0
20,4,1,0.6429892400807017
27,4,1,-1.0
14,2,0,-0.3886585365853644
14,2,1,-0.4285714285714286
20,2,0,-1.0
20,2,1,0.6345492742551551
28,2,1,-1.0
14,9,0,-0.43103033220991727
14,9,1,-1.0
21,9,0,0.0
21,9,1,0.9401751572714937
20,9,0,-1.0
20,9,1,0.7566622251832094
30,9,1,-1.0
19,7,0,0.0
19,7,1,0.6281915519472895
21,7,1,0.9273147553615
13,7,0,-1.0
13,7,1,-0.46674826601387115
14,7,0,-1.0
14,7,1,-0.4617783034082372
16,11,0,-0.6207467962881142
16,11,1,-1.0
18,11,0,-0.6
18,11,1,-0.37390385631273115
20,11,0,-1.0
20,11,1,0.17025998731769088
30,11,1,-1.0
12,3,0,-0.22370700321702486
12,3,1,-1.0
9,3,0,0.12801418439716314
9,3,1,-1.0
15,10,0,-1.0
15,10,1,-0.5747309685133517
19,10,0,-1.0
19,10,1,0.001301326245258467
20,10,0,-1.0
20,10,1,0.45064417248611616
14,6,0,-0.2926279643738593
14,6,1,-0.5
16,5,0,-1.0
16,5,1,-0.13820018365472908
26,5,1,-1.0
11,10,0,0.050818841803140266
11,10,1,-0.3333333333333333
18,8,0,-1.0
18,8,1,0.10178144688246817
13,8,0,-1.0
13,8,1,-0.5149898645044273
18,7,0,-1.0
18,7,1,0.4109201899163456
8,10,0,-0.34238085060910406
8,10,1,-1.0
12,10,0,-0.40612992847431634
12,10,1,-1.0
16,10,0,-0.5165175975410483
16,10,1,-1.0
16,8,0,-0.3923982291329238
16,8,1,-1.0
19,8,0,0.0
19,8,1,0.594594594594592
5,8,0,-1.0
5,8,1,-0.5068493150684925
15,8,0,-0.3825063825063824
